id,title,authors,year,journal,discipline,citations2019,p_rep,arm,name
ml1.10,Experiments in Wording Questions: II,Donald Rugg,1941,Public Opinion Quarterly,Social,168,0.999913954573815,refuted,experiments_in_wording_questions_ii
ml1.11,"Prestige, Suggestion, and Attitudes",Irving Lorge and Carl C. Curtiss,1936,The Journal of Social Psychology,Social,149,0.0678722112437771,refuted,prestige_suggestion_and_attitudes
ml1.12,A Single Exposure to the American Flag Shifts Support Toward Republicanism up to 8 Months Later,T. J. Carter and M. J. Ferguson and R. R. Hassin,2011,Psychological Science,Social,92,0.638432771990477,refuted,a_single_exposure_to_the_american_flag_s
ml1.13,Mere exposure to money increases endorsement of free-market systems and social inequality.,Eugene M. Caruso and Kathleen D. Vohs and Brittani Baxter and Adam Waytz,2013,Journal of Experimental Psychology: General,Social,38,0.402512164895169,refuted,mere_exposure_to_money_increases_endorse
ml1.14,Elaboration enhances the imagined contact effect,Senel Husnu and Richard J. Crisp,2010,Journal of Experimental Social Psychology,Social,92,0.31422537189988,refuted,elaboration_enhances_the_imagined_contac
ml1.15,"Math = male, me = female, therefore math $ne$ me.",Brian A. Nosek and Mahzarin R. Banaji and Anthony G. Greenwald,2002,Journal of Personality and Social Psychology,Social,615,0.01360505277522845,robust,math_male_me_female_therefore_math_ne_me
ml1.2,The framing of decisions and the psychology of choice,A Tversky and D Kahneman,1981,Science,Cognitive,13010,0.001193745444872,robust,the_framing_of_decisions_and_the_psychol
ml1.3,Measures of Anchoring in Estimation Tasks,K. E. Jacowitz and D. Kahneman,1995,Personality and Social Psychology Bulletin,Social,447,2.81933108223604e-21,robust,measures_of_anchoring_in_estimation_task
ml1.7,"The retrospective gambler's fallacy: Unlikely events, constructing the past, and multiple universes",Benoît Monin and Daniel M. Oppenheimer,2009,Judgment and Decision Making,Cognitive,27,0.0012808368531115,robust,the_retrospective_gambler_s_fallacy_unli
ml1.8,Response Scales: Effects of Category Range on Reported Behavior and Comparative Judgments,Norbert Schwarz and Hans-J. Hippler and Brigitte Deutsch and Fritz Strack,1985,Public Opinion Quarterly,Cognitive,341,0.983252137024664,refuted,response_scales_effects_of_category_rang
ml1.9,The current status of American public opinion,Herbert H. Hyman and Paul B. Sheatsley,1950,"In J. C. Payne (Ed.), The teaching of contemporary affairs: 21st yearbook of the National Council of Social Studies",Social,105,1.0,refuted,the_current_status_of_american_public_op
ml3.1,Power and Perspectives Not Taken,Adam D. Galinsky and Joe C. Magee and M. Ena Inesi and Deborah H Gruenfeld,2006,Psychological Science,Social,410,0.4040940458708955,refuted,power_and_perspectives_not_taken
ml3.10,Weight as an Embodiment of Importance,Nils B. Jostmann and Daniël Lakens and Thomas W. Schubert,2009,Psychological Science,Social,144,0.58,refuted,weight_as_an_embodiment_of_importance
ml3.2,Moral credentials and the expression of prejudice.,Benoît Monin and Dale T. Miller,2001,Journal of Personality and Social Psychology,Social,408,0.476112467875631,refuted,moral_credentials_and_the_expression_of_
ml3.3,"It feels like yesterday: Self-esteem, valence of personal past experiences, and judgments of subjective distance.",Michael Ross and Anne E. Wilson,2002,Journal of Personality and Social Psychology,Social,182,0.4383873956645285,refuted,it_feels_like_yesterday_self_esteem_vale
ml3.4,Availability: A heuristic for judging frequency and probability,Amos Tversky and Daniel Kahneman,1973,Cognitive Psychology,Cognitive,5659,0.432566823794716,refuted,availability_a_heuristic_for_judging_fre
ml3.5,Running on Empty: Neural Signals for Self-Control Failure,M. Inzlicht and J. N. Gutsell,2007,Psychological Science,Cognitive,147,2.4501164271870945e-17,robust,running_on_empty_neural_signals_for_self
ml3.6,"Warmer Hearts, Warmer Rooms",Aleksandra Szymkow and Jesse Chandler and Hans IJzerman and Michal Parzuchowski and Bogdan Wojciszke,2013,Social Psychology,Social,9,0.5449999999999999,refuted,warmer_hearts_warmer_rooms
ml3.7,"Effects of need for cognition on message evaluation, recall, and persuasion.",John T. Cacioppo and Richard E. Petty and Katherine J. Morris,1983,Journal of Personality and Social Psychology,Social,583,0.649266301991675,refuted,effects_of_need_for_cognition_on_message
ml3.8,Cloningertextquotesingles Psychobiological Model of Temperament and Character and the Five-Factor Model of Personality,F De Fruyt and L Van De Wiele and C Van Heeringen,2000,Personality and Individual Differences,Cognitive,145,0.5575011689746505,refuted,cloningertextquotesingles_psychobiologic
ml3.9,Metaphoric structuring: understanding time through spatial metaphors,Lera Boroditsky,2000,Cognition,Cognitive,801,0.361823520429765,refuted,metaphoric_structuring_understanding_tim
rpp.1,Tracing attention and the activation flow in spoken word planning using eye movements.,Ardi Roelofs,2008,JEPLMC,Cognitive,46,0.434030725,refuted,tracing_attention_and_the_activation_flo
rpp.10,Across-notation automatic numerical processing.,Dana Ganor-Stern and Joseph Tzelgov,2008,JEPLMC,Cognitive,51,2.21e-07,robust,across_notation_automatic_numerical_proc
rpp.104,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).",Adam L. Alter and Daniel M. Oppenheimer,2008,PS,Social,109,0.533880559,refuted,effects_of_fluency_on_psychological_dist
rpp.106,More than meets the eye: the role of language in binding and maintaining feature conjunctions.,Banchiamlack Dessalegn and Barbara Landau,2008,PS,Cognitive,52,0.132031044,refuted,more_than_meets_the_eye_the_role_of_lang
rpp.107,Nonconscious goal pursuit in novel environments: The case of implicit learning.,Baruch Eitam and Ran R. Hassin and Yaacov Schul,2008,PS,Social,66,0.189435742,refuted,nonconscious_goal_pursuit_in_novel_envir
rpp.11,Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.,Daniel Mirman and James S. Magnuson,2008,JEPLMC,Cognitive,56,0.008168915,robust,attractor_dynamics_and_semantic_neighbor
rpp.110,Perceptual mechanisms that characterize gender differences in decoding women's sexual intent,Coreen Farris and Teresa A. Treat and Richard J. Viken and Richard M. McFall,2008,PS,Social,37,0.277177119,refuted,perceptual_mechanisms_that_characterize_
rpp.111,Precision of the anchor influences the amount of adjustment.,Chris Janiszewski and Dan Uy,2008,PS,Cognitive,53,0.013965691,robust,precision_of_the_anchor_influences_the_a
rpp.112,Action dynamics reveal parallel competition in decision making,Chris McKinstry and Rick Dale and Michael J. Spivey,2008,PS,Cognitive,103,0.007800372,robust,action_dynamics_reveal_parallel_competit
rpp.113,Prescribed optimism: Is it right to be wrong about the future?,David A. Armor and Cade Massey and Aaron M. Sackett,2008,PS,Social,32,4.59e-35,robust,prescribed_optimism_is_it_right_to_be_wr
rpp.114,Age-related changes in the episodic simulation of future events,Donna Rose Addis and Alana T. Wong and Daniel L. Schacter,2008,PS,Social,248,5.14e-05,robust,age_related_changes_in_the_episodic_simu
rpp.115,Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?,Erika Nurmsoo and Paul Bloom,2008,PS,Cognitive,22,0.191700924,refuted,preschoolers_perspective_taking_in_word_
rpp.116,Measuring the crowd within: Probabilistic representations within individuals.,Edward Vul and Harold Pashler,2008,PS,Cognitive,122,9.5e-05,robust,measuring_the_crowd_within_probabilistic
rpp.117,"Temporal selection is suppressed, delayed, and diffused during the attentional blink.",Edward Vul and Mark Nieuwenstein and Nancy Kanwisher,2008,PS,Cognitive,53,3.35e-33,robust,temporal_selection_is_suppressed_delayed
rpp.118,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.",E.J. Masicampo and Roy F. Baumeister,2008,PS,Social,202,0.539024693,refuted,toward_a_physiology_of_dual_process_reas
rpp.12,When does between-sequence phonological similarity promote irrelevant sound disruption?,John E. Marsh and François Vachon and Dylan M. Jones,2008,JEPLMC,Cognitive,12,0.198165248,refuted,when_does_between_sequence_phonological_
rpp.120,Errors Are Aversive: Defensive Motivation and the Error-Related Negativity,Greg Hajcak and Dan Foti,2008,PS,Social,172,0.053115031,refuted,errors_are_aversive_defensive_motivation
rpp.121,The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry),Golnaz Tabibnia and Ajay B. Satpute and Matthew D. Lieberman,2008,PS,Social,274,2.82e-08,robust,the_sunny_side_of_fairness_preference_fo
rpp.122,The representation of simple ensemble visual features outside the focus of attention,George A. Alvarez and Aude Oliva,2008,PS,Cognitive,134,4.9e-08,robust,the_representation_of_simple_ensemble_vi
rpp.124,Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.,Grace P. Lau and Aaron C. Kay and Steven J. Spencer,2008,PS,Social,54,0.778156632,refuted,loving_those_who_justify_inequality_the_
rpp.127,A motion aftereffect from still photographs depicting motion,Jonathan Winawer and Alexander C. Huk and Lera Boroditsky,2008,PS,Cognitive,47,0.004708112,robust,a_motion_aftereffect_from_still_photogra
rpp.129,The threat of appearing prejudiced and race-based attentional biases.,Jennifer A. Richeson and Sophie Trawalter,2008,PS,Social,75,0.887981301,refuted,the_threat_of_appearing_prejudiced_and_r
rpp.13,Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.,Jamie I. D. Campbell and Nicole D. Robert,2008,JEPLMC,Cognitive,11,1.58e-12,robust,bidirectional_associations_in_multiplica
rpp.132,Where do we look during potentially offensive behavior?,Jennifer Randall Crosby and Benoît Monin and Daniel Richardson,2008,PS,Social,36,0.254170145,refuted,where_do_we_look_during_potentially_offe
rpp.133,Adaptive memory: The comparative value of survival processing.,James S. Nairne and Josefa N.S. Pandeirada and Sarah R. Thompson,2008,PS,Cognitive,191,0.007242548,robust,adaptive_memory_the_comparative_value_of
